Section designation,,Dimensions and properties,,,,,,,,,,,
Outside diameter,Thickness,Mass per metre,Area of section,Ratio for local buckling,Second moment of area,Radius of gyration,Elastic modulus,Plastic modulus,Torsional constants,,Surface area,,
,,,,,,,,,,,Per metre,Per tonne,
d,t,,A,d/t,I,i,Wel,Wpl,IT,Wt,,,
mm,mm,kg/m,cm2,,cm4,cm,cm3,cm3,cm4,cm3,m2,m2,
,5.0,8.77,11.2,15.2,70.9,2.52,18.6,25.3,142,37.3,0.239,27.3,
,6.3,10.8,13.8,12.1,84.8,2.48,22.3,30.8,170,44.6,0.239,22.1,
,8.0,13.4,17.1,9.51,101,2.42,26.4,37.3,201,52.9,0.239,17.8,
88.9,3.2,6.76,8.62,27.8,79.2,3.03,17.8,23.5,158,35.6,0.279,41.3,
,3.6,7.57,9.65,24.7,87.9,3.02,19.8,26.2,176,39.5,0.279,36.9,
,4.0,8.38,10.7,22.2,96.3,3.00,21.7,28.9,193,43.3,0.279,33.3,
,5.0,10.3,13.2,17.8,116,2.97,26.2,35.2,233,52.4,0.279,27.1,
,6.3,12.8,16.3,14.1,140,2.93,31.5,43.1,280,63.1,0.279,21.8,
,8.0,16.0,20.3,11.1,168,2.87,37.8,52.5,336,75.6,0.279,17.4,
,10.0,19.5,24.8,8.89,196,2.81,44.1,62.6,392,88.2,0.279,14.3,
114.3,3.6,9.83,12.5,31.8,192,3.92,33.6,44.1,384,67.2,0.359,36.5,
,4.0,10.9,13.9,28.6,211,3.90,36.9,48.7,422,73.9,0.359,32.9,
,5.0,13.5,17.2,22.9,257,3.87,45.0,59.8,514,89.9,0.359,26.6,
,6.3,16.8,21.4,18.1,313,3.82,54.7,73.6,625,109,0.359,21.4,
,8.0,21.0,26.7,14.3,379,3.77,66.4,90.6,759,133,0.359,17.1,
,10.0,25.7,32.8,11.4,450,3.70,78.7,109,899,157,0.359,14.0,
139.7,3.6,12.1,15.4,38.8,357,4.81,51.1,66.7,713,102,0.439,36.3,
,4.0,13.4,17.1,34.9,393,4.80,56.2,73.7,786,112,0.439,32.8,
,5.0,16.6,21.2,27.9,481,4.77,68.8,90.8,961,138,0.439,26.4,
,6.3,20.7,26.4,22.2,589,4.72,84.3,112,1180,169,0.439,21.2,
,8.0,26.0,33.1,17.5,720,4.66,103,139,1440,206,0.439,16.9,
168.3,5.0,20.1,25.7,33.7,856,5.78,102,133,1710,203,0.529,26.3,
,6.3,25.2,32.1,26.7,1050,5.73,125,165,2110,250,0.529,21.0,
,8.0,31.6,40.3,21.0,1300,5.67,154,206,2600,308,0.529,16.7,
,10.0,39.0,49.7,16.8,1560,5.61,186,251,3130,372,0.529,13.6,
,12.5,48.0,61.2,13.5,1870,5.53,222,304,3740,444,0.529,11.0,
193.7,5.0,23.3,29.6,38.7,1320,6.67,136,178,2640,273,0.609,26.1,
,6.3,29.1,37.1,30.7,1630,6.63,168,221,3260,337,0.609,20.9,
,8.0,36.6,46.7,24.2,2020,6.57,208,276,4030,416,0.609,16.6,
,10.0,45.3,57.7,19.4,2440,6.50,252,338,4880,504,0.609,13.4,
,12.5,55.9,71.2,15.5,2930,6.42,303,411,5870,606,0.609,10.9,
,14.2,62.9,80.1,13.6,3240,6.37,335,458,6490,670,0.609,9.68,
,16.0,70.1,89.3,12.1,3550,6.31,367,507,7110,734,0.609,8.69,
219.1,5.0,26.4,33.6,43.8,1930,7.57,176,229,3860,352,0.688,26.1,
,6.3,33.1,42.1,34.8,2390,7.53,218,285,4770,436,0.688,20.8,
,8.0,41.6,53.1,27.4,2960,7.47,270,357,5920,540,0.688,16.5,
,10.0,51.6,65.7,21.9,3600,7.40,328,438,7200,657,0.688,13.3,
,12.5,63.7,81.1,17.5,4340,7.32,397,534,8690,793,0.688,10.8,
,14.2,71.8,91.4,15.4,4820,7.26,440,597,9640,880,0.688,9.58,
,16.0,80.1,102,13.7,5300,7.20,483,661,10600,967,0.688,8.59,
244.5,5.0,29.5,37.6,48.9,2700,8.47,221,287,5400,441,0.768,26.0,
,6.3,37.0,47.1,38.8,3350,8.42,274,358,6690,547,0.768,20.8,
,8.0,46.7,59.4,30.6,4160,8.37,340,448,8320,681,0.768,16.4,
,10.0,57.8,73.7,24.5,5070,8.30,415,550,10100,830,0.768,13.3,
,12.5,71.5,91.1,19.6,6150,8.21,503,673,12300,1010,0.768,10.7,
,14.2,80.6,103,17.2,6840,8.16,559,754,13700,1120,0.768,9.53,
,16.0,90.2,115,15.3,7530,8.10,616,837,15100,1230,0.768,8.51,
273.0,5.0,33.0,42.1,54.6,3780,9.48,277,359,7560,554,0.858,26.0,
,6.3,41.4,52.8,43.3,4700,9.43,344,448,9390,688,0.858,20.7,
,8.0,52.3,66.6,34.1,5850,9.37,429,562,11700,857,0.858,16.4,
,10.0,64.9,82.6,27.3,7150,9.31,524,692,14300,1050,0.858,13.2,
,12.5,80.3,102,21.8,8700,9.22,637,849,17400,1270,0.858,10.7,
,14.2,90.6,115,19.2,9700,9.16,710,952,19400,1420,0.858,9.47,
,16.0,101,129,17.1,10700,9.10,784,1060,21400,1570,0.858,8.50,
,17.5,110,140,15.6,11500,9.05,844,1140,23000,1690,0.858,7.80,
323.9,5.0,39.3,50.1,64.8,6370,11.3,393,509,12700,787,1.02,26.0,
,6.3,49.3,62.9,51.4,7930,11.2,490,636,15900,979,1.02,20.7,
,8.0,62.3,79.4,40.5,9910,11.2,612,799,19800,1220,1.02,16.4,
,10.0,77.4,98.6,32.4,12200,11.1,751,986,24300,1500,1.02,13.2,
,12.5,96.0,122,25.9,14800,11.0,917,1210,29700,1830,1.02,10.6,
,14.2,108,138,22.8,16600,11.0,1020,1360,33200,2050,1.02,9.44,
,16.0,121,155,20.2,18400,10.9,1140,1520,36800,2270,1.02,8.43,
,17.5,132,168,18.5,19800,10.9,1220,1640,39700,2450,1.02,7.73,
355.6,6.3,54.3,69.1,56.4,10500,12.4,593,769,21100,1190,1.12,20.6,
,8.0,68.6,87.4,44.5,13200,12.3,742,967,26400,1480,1.12,16.3,
,10.0,85.2,109,35.6,16200,12.2,912,1200,32400,1820,1.12,13.1,
,12.5,106,135,28.4,19900,12.1,1120,1470,39700,2230,1.12,10.6,
,14.2,120,152,25.0,22200,12.1,1250,1660,44500,2500,1.12,9.33,
,16.0,134,171,22.2,24700,12.0,1390,1850,49300,2770,1.12,8.36,
,17.5,146,186,20.3,26600,12.0,1500,2000,53300,3000,1.12,7.67,
406.4,10.0,97.8,125,40.6,24500,14.0,1200,1570,49000,2410,1.28,13.1,
,12.5,121,155,32.5,30000,13.9,1480,1940,60100,2960,1.28,10.6,
,14.2,137,175,28.6,33700,13.9,1660,2180,67400,3320,1.28,9.34,
,16.0,154,196,25.4,37400,13.8,1840,2440,74900,3690,1.28,8.31,
,17.5,168,214,23.2,40500,13.8,1990,2650,81000,3990,1.28,7.62,
457.0,10.0,110,140,45.7,35100,15.8,1540,2000,70200,3070,1.44,13.1,
,12.5,137,175,36.6,43100,15.7,1890,2470,86300,3780,1.44,10.5,
,14.2,155,198,32.2,48500,15.7,2120,2780,96900,4240,1.44,9.29,
,16.0,174,222,28.6,54000,15.6,2360,3110,108000,4720,1.44,8.28,
,17.5,190,242,26.1,58400,15.6,2560,3380,117000,5120,1.44,7.58,
508.0,10.0,123,156,50.8,48500,17.6,1910,2480,97000,3820,1.60,13.0,
,12.5,153,195,40.6,59800,17.5,2350,3070,120000,4700,1.60,10.5,
,14.2,173,220,35.8,67200,17.5,2650,3460,134000,5290,1.60,9.25,
,16.0,194,247,31.8,74900,17.4,2950,3870,150000,5900,1.60,8.25,
,17.5,212,270,29.0,81200,17.4,3200,4210,162000,6390,1.60,7.55,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
