,Dead Load on Rafter (kN/m),Eaves Height (m),Span of Frame (m),,,,,
,,,15,20,25,30,35,40
Rafter,16,6,254×146×31 UKB,356×171×45 UKB,356×171×67 UKB,457×191×82 UKB,533x210x82 UKB,533×210×92 UKB
,16,8,254×146×31 UKB,356×171×45 UKB,356×171×67 UKB,457×191×82 UKB,533x210x92 UKB,533×210×92 UKB
,16,10,254×146×31 UKB,356×171×45 UKB,356×171×67 UKB,457×191×82 UKB,533x210x92 UKB,533×210×92 UKB
,16,12,*,356×171×45 UKB,356×171×67 UKB,457×191×82 UKB,533x210x92 UKB,610×229×113 UKB
Restrained Column,16,6,305×165×54 UKB,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB,686x254x140 UKB,686×254×140 UKB
,16,8,305×165×54 UKB,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB,686x254x140 UKB,686×254×140 UKB
,16,10,406×178×60 UKB,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB,686x254x170 UKB,762×267×173 UKB
,16,12,*,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB,686x254x170 UKB,838×292×176 UKB
Unrestrained Column,16,6,457×191×67 UKB,533×210×92 UKB,610×229×113 UKB,610×229×125 UKB,686x254x140 UKB,610×305×149 UKB
,16,8,457×191×82 UKB,610×229×113 UKB,686×254×140 UKB,610×305×149 UKB,838x292x176 UKB,838×292×194 UKB
,16,10,533×210×101 UKB,610×229×125 UKB,610×305×149 UKB,838×292×194 UKB,914x305x224 UKB,914×305×224 UKB
,16,12,*,686×254×140 UKB,838×292×176 UKB,914×305×224 UKB,914x305x253 UKB,914×305×289 UKB
